title,tyear,duration,score
Avatar ,2009,178,7.9
Pirates of the Caribbean: At World's End ,2007,169,7.1
Spectre ,2015,148,6.8
The Dark Knight Rises ,2012,164,8.5
Star Wars: Episode VII - The Force Awakens             ,,,7.1
John Carter ,2012,132,6.6
Spider-Man 3,2007,156,6.2
Tangled ,2010,100,7.8
Avengers: Age of Ultron ,2015,141,7.5
Harry Potter and the Half-Blood Prince ,2009,153,7.5
Batman v Superman: Dawn of Justice ,2016,183,6.9
Superman Returns ,2006,169,6.1
Quantum of Solace ,2008,106,6.7
Pirates of the Caribbean: Dead Man's Chest ,2006,151,7.3
The Lone Ranger ,2013,150,6.5
Man of Steel ,2013,143,7.2
The Chronicles of Narnia: Prince Caspian ,2008,150,6.6
The Avengers ,2012,173,8.1
Pirates of the Caribbean: On Stranger Tides ,2011,136,6.7
Men in Black 3,2012,106,6.8
The Hobbit: The Battle of the Five Armies ,2014,164,7.5
The Amazing Spider-Man ,2012,153,7
Robin Hood ,2010,156,6.7
The Hobbit: The Desolation of Smaug ,2013,186,7.9
The Golden Compass ,2007,113,6.1
King Kong ,2005,201,7.2
Titanic ,1997,194,7.7
Captain America: Civil War ,2016,147,8.2
Battleship ,2012,131,5.9
Jurassic World ,2015,124,7
Skyfall ,2012,143,7.8
Spider-Man 2,2004,135,7.3
Iron Man 3,2013,195,7.2
Alice in Wonderland ,2010,108,6.5
X-Men: The Last Stand ,2006,104,6.8
Monsters University ,2013,104,7.3
Transformers: Revenge of the Fallen ,2009,150,6
Transformers: Age of Extinction ,2014,165,5.7
Oz the Great and Powerful ,2013,130,6.4
The Amazing Spider-Man 2,2014,142,6.7
TRON: Legacy ,2010,125,6.8
Cars 2,2011,106,6.3
Green Lantern ,2011,123,5.6
Toy Story 3,2010,103,8.3
Terminator Salvation ,2009,118,6.6
Furious 7,2015,140,7.2
World War Z ,2013,123,7
X-Men: Days of Future Past ,2014,149,8
Star Trek Into Darkness ,2013,132,7.8
Jack the Giant Slayer ,2013,114,6.3
The Great Gatsby ,2013,143,7.3
Prince of Persia: The Sands of Time ,2010,116,6.6
Pacific Rim ,2013,131,7
Transformers: Dark of the Moon ,2011,154,6.3
Indiana Jones and the Kingdom of the Crystal Skull ,2008,122,6.2
The Good Dinosaur ,2015,93,6.8
Brave ,2012,93,7.2
Star Trek Beyond ,2016,122,7.5
WALL·E ,2008,98,8.4
Rush Hour 3,2007,91,6.2
2012,2009,158,5.8
A Christmas Carol ,2009,96,6.8
Jupiter Ascending ,2015,127,5.4
The Legend of Tarzan ,2016,110,6.6
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",2005,150,6.9
X-Men: Apocalypse ,2016,144,7.3
The Dark Knight ,2008,152,9
Up ,2009,96,8.3
Monsters vs. Aliens ,2009,94,6.5
Iron Man ,2008,126,7.9
Hugo ,2011,126,7.5
Wild Wild West ,1999,106,4.8
The Mummy: Tomb of the Dragon Emperor ,2008,112,5.2
Suicide Squad ,2016,123,6.9
Evan Almighty ,2007,96,5.4
Edge of Tomorrow ,2014,113,7.9
Waterworld ,1995,176,6.1
G.I. Joe: The Rise of Cobra ,2009,118,5.8
Inside Out ,2015,95,8.3
The Jungle Book ,2016,106,7.8
Iron Man 2,2010,124,7
Snow White and the Huntsman ,2012,132,6.1
Maleficent ,2014,97,7
Dawn of the Planet of the Apes ,2014,130,7.6
The Lovers ,2015,109,4.5
47 Ronin,2013,128,6.3
Captain America: The Winter Soldier ,2014,136,7.8
Shrek Forever After ,2010,93,6.4
Tomorrowland ,2015,130,6.5
Big Hero 6,2014,102,7.9
Wreck-It Ralph ,2012,101,7.8
The Polar Express ,2004,100,6.6
Independence Day: Resurgence ,2016,120,5.5
How to Train Your Dragon ,2010,98,8.2
Terminator 3: Rise of the Machines,2003,109,6.4
Guardians of the Galaxy ,2014,121,8.1
Interstellar ,2014,169,8.6
Inception ,2010,148,8.8
Godzilla Resurgence ,2016,120,8.2
The Hobbit: An Unexpected Journey ,2012,182,7.9
The Fast and the Furious ,2001,106,6.7
The Curious Case of Benjamin Button ,2008,166,7.8
X-Men: First Class ,2011,132,7.8
The Hunger Games: Mockingjay - Part 2,2015,137,6.6
The Sorcerer's Apprentice ,2010,109,6.1
